275
t_index	tf-idf
70	0.014587
103	0.009175
132	0.009351
159	0.021292
193	0.011763
201	0.009279
210	0.006918
247	0.012856
335	0.009244
344	0.003453
347	0.010695
352	0.010227
393	0.021687
454	0.011828
455	0.005925
492	0.007209
547	0.014723
594	0.014995
619	0.012310
682	0.012167
696	0.014587
733	0.023376
818	0.014847
884	0.052527
941	0.028052
957	0.014715
976	0.017111
1031	0.013999
1104	0.012167
1111	0.012310
1172	0.011828
1456	0.013026
1489	0.014587
1501	0.023376
1530	0.026263
1540	0.016233
1580	0.014847
1590	0.016276
1609	0.022447
1610	0.139644
1613	0.021045
1620	0.007429
1662	0.008781
1714	0.020489
1816	0.022909
1820	0.052527
1852	0.014342
1893	0.013407
1929	0.022447
1969	0.011978
1978	0.016090
2165	0.025792
2194	0.013484
2310	0.046753
2354	0.004279
2369	0.028449
2378	0.023376
2417	0.105971
2593	0.023376
2594	0.009806
2654	0.006839
2755	0.014635
2779	0.014995
2780	0.016469
2804	0.010847
2849	0.012167
2893	0.014460
2899	0.010646
2934	0.011112
2948	0.015743
3009	0.024575
3052	0.016276
3148	0.014984
3304	0.018467
3359	0.010432
3378	0.020489
3427	0.025547
3454	0.049836
3537	0.013026
3589	0.010379
3659	0.007339
3667	0.019999
3678	0.006610
3681	0.011058
3722	0.009534
3788	0.011058
3811	0.017194
3864	0.012856
3889	0.013388
3900	0.008844
3912	0.014587
3915	0.007539
3972	0.025547
3974	0.012856
3997	0.019999
4025	0.024575
4285	0.010362
4316	0.006482
4444	0.011004
4449	0.087606
4616	0.049149
4617	0.026263
4618	0.046753
4707	0.010501
4712	0.016090
4785	0.010597
4786	0.010695
4798	0.011700
4861	0.052527
4879	0.021045
4880	0.026263
4902	0.009244
5046	0.009175
5107	0.010096
5123	0.014715
5176	0.008597
5198	0.022447
5354	0.056401
5421	0.017041
5429	0.017255
5455	0.024575
5558	0.052806
5572	0.038325
5617	0.017376
5676	0.012028
5712	0.017871
5750	0.022447
5796	0.003874
5801	0.009351
5827	0.024918
5984	0.023376
6027	0.017500
6072	0.006152
6136	0.016673
6154	0.022447
6155	0.004763
6203	0.042091
6270	0.010898
6282	0.035099
6287	0.012774
6353	0.005435
6361	0.017871
6430	0.010454
6445	0.009597
6452	0.017602
6456	0.016276
6563	0.011004
6639	0.011575
6657	0.012167
6659	0.013446
6765	0.025792
6821	0.009387
6865	0.023151
6898	0.014984
6916	0.009534
6925	0.027673
6945	0.005801
7014	0.018467
7035	0.006103
7117	0.044894
7142	0.007934
7168	0.009916
7227	0.013891
7254	0.004174
7264	0.004715
7304	0.035513
7371	0.010951
7476	0.004576
7477	0.016451
7480	0.026263
7583	0.021045
7652	0.007614
7815	0.012940
7836	0.013582
7978	0.009460
8060	0.120999
8061	0.019163
8084	0.006723
8092	0.135093
8193	0.010183
8313	0.011960
8319	0.009141
8342	0.017602
8352	0.017602
8353	0.013683
8368	0.011828
8372	0.029907
8577	0.009846
8586	0.019560
8612	0.030250
8624	0.008973
8671	0.017111
8705	0.013114
8765	0.010646
8802	0.024193
8829	0.014715
8868	0.019163
8881	0.009992
8887	0.012459
8894	0.017350
8933	0.012521
8941	0.018350
8952	0.009387
8960	0.009969
9024	0.017871
9036	0.016886
9142	0.010316
9166	0.051761
9175	0.019560
9218	0.019999
9315	0.019560
9323	0.013484
9329	0.025333
9435	0.009886
9537	0.016900
9540	0.011004
9559	0.007808
9604	0.012097
9605	0.017816
9649	0.006999
9666	0.012338
9716	0.024575
9756	0.017871
9780	0.013388
9795	0.010053
9804	0.013026
9812	0.007295
9851	0.017350
9879	0.013026
9995	0.006898
10102	0.037260
10127	0.012310
10133	0.009039
10208	0.011058
10212	0.030250
10258	0.035483
10268	0.011395
10310	0.005180
10507	0.013683
10611	0.005801
10741	0.014468
10873	0.008973
10878	0.024575
10951	0.006536
10970	0.008688
10979	0.004921
11027	0.006631
11094	0.006742
11151	0.017602
11178	0.012384
11240	0.011763
11267	0.031532
11308	0.035742
11310	0.007812
11375	0.015271
11532	0.023376
11542	0.018800
11578	0.029967
11815	0.013999
11933	0.009572
11981	0.013683
11983	0.038820
12009	0.012338
12076	0.008812
12086	0.008450
12093	0.008170
12113	0.023376
12117	0.011058
12125	0.009846
12150	0.016886
12163	0.010271
12165	0.005098
12168	0.008508
12204	0.015743
12252	0.005308
